Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1 (city),Location 1,Location 2,Location 1 (state)
IDAHO,2014,6,,-,0,,2,,1,,4,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-114.3637261449997 43.682630058000484),,IDAHO
MISSISSIPPI,2014,6,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,,POINT (-89.53802764499966 32.74551123200047),,MISSISSIPPI
MARYLAND,2014,6,2,,18,,76,,19,,139,,,-,2,,10,,10,,23,,,-,0,,1,,1,,2,,,POINT (-76.60925970899967 39.2905806980005),,MARYLAND
UNITED STATES,2014,7,27,,397,,2256,,441,,1437,,10,,26,,51,,103,,143,,3,,9,,22,,58,,110,,,,,
NEW ENGLAND,2014,7,,-,126,,912,,66,,422,,,-,2,,8,,6,,9,,,-,0,,3,,1,,6,,,,,
MID. ATLANTIC,2014,7,19,,191,,1004,,282,,706,,3,,8,,21,,34,,27,,,-,1,,7,,3,,11,,,,,
E.N. CENTRAL,2014,7,,-,19,,223,,16,,48,,3,,2,,8,,10,,16,,,-,0,,4,,1,,6,,,,,
W.N. CENTRAL,2014,7,,-,3,,31,,3,,4,,,-,0,,3,,7,,7,,,-,0,,3,,4,,8,,,,,
S. ATLANTIC,2014,7,8,,46,,258,,69,,234,,3,,6,,17,,24,,52,,,-,1,,6,,17,,31,,,,,
E.S. CENTRAL,2014,7,,-,1,,9,,2,,5,,,-,1,,4,,6,,6,,,-,0,,2,,2,,3,,,,,
W.S. CENTRAL,2014,7,,-,1,,7,,,-,3,,,-,1,,7,,1,,7,,1,,1,,3,,6,,4,,,,,
MOUNTAIN,2014,7,,-,2,,9,,1,,5,,,-,1,,6,,2,,8,,1,,0,,4,,5,,4,,,,,
PACIFIC,2014,7,,-,3,,9,,2,,10,,1,,3,,9,,13,,11,,1,,2,,8,,19,,37,,,,,
OHIO,2014,7,,-,1,,7,,1,,5,,2,,1,,3,,6,,4,,,-,0,,2,,,-,,-,,POINT (-82.40425685299965 40.06021029700048),,OHIO
IOWA,2014,7,,-,2,,27,,1,,1,,,-,0,,2,,3,,1,,,-,0,,1,,1,,,-,,POINT (-93.81648936699969 42.469404401000475),,IOWA
ALABAMA,2014,7,,-,0,,3,,,-,2,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,POINT (-86.63185803899967 32.84057327200048),,ALABAMA
VERMONT,2014,7,,-,8,,93,,21,,18,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,POINT (-72.51763944499965 43.62538292400046),,VERMONT
NEVADA,2014,7,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,,POINT (-117.07183978499972 39.49324126500045),,NEVADA
PENNSYLVANIA,2014,7,10,,79,,539,,200,,361,,,-,1,,5,,7,,2,,,-,0,,3,,1,,2,,,POINT (-77.86069775999965 40.79373106100047),,PENNSYLVANIA
NEBRASKA,2014,7,,-,0,,3,,2,,,-,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,,POINT (-99.36571864599966 41.64104043900045),,NEBRASKA
OKLAHOMA,2014,7,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,2,,,-,,POINT (-97.52106845499969 35.472034350000456),,OKLAHOMA
ALASKA,2014,7,,-,0,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),,ALASKA
WASHINGTON,2014,7,,-,0,,3,,,-,,-,,-,0,,3,,,-,1,,,-,0,,5,,3,,3,,,POINT (-120.47002746299972 47.522287905000496),,WASHINGTON
NEW YORK,2014,7,6,,46,,258,,53,,44,,,-,1,,5,,6,,7,,,-,0,,3,,1,,3,,,POINT (-75.54396639699968 42.82700023900048),,NEW YORK
WEST VIRGINIA,2014,7,,-,1,,19,,2,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,,POINT (-80.71263935099967 38.665511497000466),,WEST VIRGINIA
OREGON,2014,7,,-,1,,3,,1,,2,,,-,0,,1,,,-,,-,,-,0,,3,,8,,3,,,POINT (-120.15502977999972 44.567446178000466),,OREGON
TEXAS,2014,7,,-,1,,7,,,-,3,,,-,1,,7,,1,,6,,1,,0,,3,,3,,3,,,POINT (-99.4267664729997 31.827243635000457),,TEXAS
ARKANSAS,2014,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,POINT (-92.27448794899965 34.748651751000466),,ARKANSAS
VIRGINIA,2014,7,1,,17,,221,,12,,17,,,-,1,,6,,4,,6,,,-,0,,2,,1,,3,,,POINT (-78.45788924199968 37.54268075100049),,VIRGINIA
KENTUCKY,2014,7,,-,0,,9,,1,,2,,,-,0,,1,,2,,3,,,-,0,,1,,1,,1,,,POINT (-84.77496612599964 37.645973909000475),,KENTUCKY
LOUISIANA,2014,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,,POINT (-92.44567554599968 31.312662564000448),,LOUISIANA
COLORADO,2014,7,,-,0,,0,,,-,,-,,-,0,,2,,,-,2,,,-,0,,1,,1,,1,,,POINT (-106.13360888799969 38.84384047000049),,COLORADO
C.N.M.I.,2014,7,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,C.N.M.I.
FLORIDA,2014,7,2,,2,,14,,9,,11,,,-,1,,3,,6,,11,,,-,1,,3,,9,,14,,,POINT (-81.92895558499964 28.932042899000464),,FLORIDA
NORTH DAKOTA,2014,7,,-,0,,5,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,,POINT (-100.11842599699969 47.47531738700047),,NORTH DAKOTA
MONTANA,2014,7,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,1,,0,,1,,1,,,-,,POINT (-109.42441687999968 47.066526051000494),,MONTANA
MARYLAND,2014,7,4,,18,,76,,25,,155,,3,,2,,10,,12,,24,,,-,0,,1,,1,,2,,,POINT (-76.60925970899967 39.2905806980005),,MARYLAND
INDIANA,2014,7,,-,1,,13,,,-,,-,,-,0,,2,,,-,3,,,-,0,,1,,,-,3,,,POINT (-86.14995579899966 39.76691364600049),,INDIANA
ILLINOIS,2014,7,,-,2,,30,,,-,5,,,-,1,,5,,1,,5,,,-,0,,2,,,-,2,,,POINT (-88.99770813999965 40.48501278700047),,ILLINOIS
CONNECTICUT,2014,7,,-,30,,251,,7,,170,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,POINT (-72.64983753699966 41.56266394200048),,CONNECTICUT
RHODE ISLAND,2014,7,,-,9,,54,,,-,3,,,-,0,,8,,1,,,-,,-,0,,0,,,-,1,,,POINT (-71.52246918099962 41.70828281900049),,RHODE ISLAND
HAWAII,2014,7,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,1,,,-,,POINT (-157.85774691599974 21.30485166200043),,HAWAII
UTAH,2014,7,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,POINT (-111.5871285339997 39.36070374600047),,UTAH
MISSOURI,2014,7,,-,0,,3,,,-,1,,,-,0,,1,,2,,1,,,-,0,,2,,2,,3,,,POINT (-92.56629737199967 38.63579372300046),,MISSOURI
NEW MEXICO,2014,7,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.24057768899968 34.52088247800049),,NEW MEXICO
MINNESOTA,2014,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,,POINT (-94.79419697699967 46.35564867700049),,MINNESOTA
NEW JERSEY,2014,7,,-,45,,224,,26,,298,,,-,1,,5,,,-,7,,,-,0,,2,,,-,3,,,POINT (-74.27368565099965 40.1305700530005),,NEW JERSEY
CALIFORNIA,2014,7,,-,1,,6,,,-,7,,1,,2,,8,,13,,10,,1,,2,,6,,7,,31,,,POINT (-120.99999889499969 37.638640488000476),,CALIFORNIA
NORTH CAROLINA,2014,7,,-,1,,32,,3,,,-,,-,0,,6,,1,,,-,,-,0,,2,,3,,5,,,POINT (-79.15924924699965 35.46622388600048),,NORTH CAROLINA
NEW HAMPSHIRE,2014,7,,-,6,,91,,,-,36,,,-,0,,2,,1,,2,,,-,0,,1,,,-,1,,,POINT (-71.50035726399966 43.6559537330005),,NEW HAMPSHIRE
NEW YORK CITY,2014,7,3,,2,,40,,3,,3,,3,,4,,13,,21,,11,,,-,0,,2,,1,,3,,,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY
TENNESSEE,2014,7,,-,0,,3,,1,,1,,,-,0,,3,,4,,2,,,-,0,,1,,1,,,-,,POINT (-85.77448642199965 35.680943063000484),,TENNESSEE
SOUTH CAROLINA,2014,7,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,POINT (-81.04536765699964 33.99882060100049),,SOUTH CAROLINA
MAINE,2014,7,,-,15,,99,,17,,25,,,-,0,,2,,2,,,-,,-,0,,1,,,-,1,,,POINT (-68.98502952999962 45.254228663000504),,MAINE
GUAM,2014,7,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (144.70297250000056 13.355173397000442),,GUAM
SOUTH DAKOTA,2014,7,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,1,,1,,2,,,POINT (-100.37352811899967 44.35313342000046),,SOUTH DAKOTA
MASSACHUSETTS,2014,7,,-,45,,471,,21,,170,,,-,1,,4,,2,,7,,,-,0,,3,,1,,2,,,POINT (-72.08268985899963 42.27687306500047),,MASSACHUSETTS
DELAWARE,2014,7,1,,7,,23,,18,,43,,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,,POINT (-75.57773943699965 39.00883351400046),,DELAWARE
VIRGIN ISL.,2014,7,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,VIRGIN ISL.
WYOMING,2014,7,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,POINT (-108.10982744299969 43.23554147100049),,WYOMING
ARIZONA,2014,7,,-,0,,3,,,-,,-,,-,0,,3,,2,,4,,,-,0,,3,,3,,2,,,POINT (-111.76380949799972 34.865973091000455),,ARIZONA
GEORGIA,2014,7,,-,0,,2,,,-,5,,,-,1,,5,,,-,9,,,-,0,,2,,2,,4,,,POINT (-83.62757601199968 32.83968004200045),,GEORGIA
IDAHO,2014,7,,-,0,,2,,1,,4,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-114.3637261449997 43.682630058000484),,IDAHO
DIST. OF COL.,2014,7,,N,0,,0,,,N,,N,,-,0,,2,,,-,2,,,-,0,,1,,,-,1,,,POINT (-99.11415045099966 39.52368635500045),,DIST. OF COL.
KANSAS,2014,7,,-,0,,4,,,-,2,,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,,POINT (-98.20077655499966 38.34774033400049),,KANSAS
MISSISSIPPI,2014,7,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,,POINT (-89.53802764499966 32.74551123200047),,MISSISSIPPI
AMER. SAMOA,2014,7,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,AMER. SAMOA
MICHIGAN,2014,7,,-,2,,14,,3,,3,,1,,0,,2,,3,,3,,,-,0,,1,,1,,1,,,POINT (-84.71438724399968 44.66131575600048),,MICHIGAN
WISCONSIN,2014,7,,-,15,,184,,12,,35,,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,POINT (-89.81636715299965 44.3931903350005),,WISCONSIN
UNITED STATES,2014,8,24,,403,,2258,,531,,1610,,11,,26,,51,,130,,162,,5,,9,,22,,65,,123,,,,,
NEW ENGLAND,2014,8,,-,127,,919,,87,,463,,,-,2,,8,,7,,9,,,-,0,,3,,1,,6,,,,,
MID. ATLANTIC,2014,8,22,,191,,1004,,338,,791,,7,,8,,21,,43,,31,,,-,1,,7,,3,,12,,,,,
E.N. CENTRAL,2014,8,,-,19,,223,,19,,51,,,-,2,,8,,11,,16,,2,,0,,4,,3,,9,,,,,
W.N. CENTRAL,2014,8,,-,3,,31,,3,,4,,,-,0,,3,,8,,9,,,-,0,,3,,4,,9,,,,,
S. ATLANTIC,2014,8,1,,47,,288,,77,,273,,1,,6,,17,,33,,56,,3,,1,,5,,20,,33,,,,,
E.S. CENTRAL,2014,8,1,,1,,9,,4,,6,,,-,1,,4,,6,,6,,,-,0,,2,,2,,4,,,,,
W.S. CENTRAL,2014,8,,-,1,,7,,,-,3,,,-,1,,7,,2,,8,,,-,1,,3,,6,,5,,,,,
MOUNTAIN,2014,8,,-,2,,9,,1,,7,,,-,1,,6,,2,,10,,,-,0,,4,,6,,5,,,,,
PACIFIC,2014,8,,-,3,,9,,2,,12,,3,,3,,9,,18,,17,,,-,2,,7,,20,,40,,,,,
IOWA,2014,8,,-,2,,27,,1,,1,,,-,0,,2,,3,,3,,,-,0,,1,,1,,,-,,POINT (-93.81648936699969 42.469404401000475),,IOWA
WASHINGTON,2014,8,,-,0,,3,,,-,,-,3,,0,,3,,5,,2,,,-,0,,5,,4,,3,,,POINT (-120.47002746299972 47.522287905000496),,WASHINGTON
NEW YORK CITY,2014,8,1,,3,,40,,4,,4,,6,,4,,13,,27,,12,,,-,0,,2,,1,,3,,,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY
HAWAII,2014,8,,N,0,,0,,,N,,N,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,,POINT (-157.85774691599974 21.30485166200043),,HAWAII
MINNESOTA,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,,POINT (-94.79419697699967 46.35564867700049),,MINNESOTA
CALIFORNIA,2014,8,,-,1,,6,,,-,8,,,-,2,,8,,13,,14,,,-,2,,6,,7,,34,,,POINT (-120.99999889499969 37.638640488000476),,CALIFORNIA
VIRGINIA,2014,8,1,,17,,251,,14,,22,,1,,1,,6,,5,,6,,,-,0,,1,,1,,3,,,POINT (-78.45788924199968 37.54268075100049),,VIRGINIA
PENNSYLVANIA,2014,8,7,,79,,539,,222,,403,,,-,1,,5,,7,,3,,,-,0,,3,,1,,2,,,POINT (-77.86069775999965 40.79373106100047),,PENNSYLVANIA
OREGON,2014,8,,-,1,,3,,1,,3,,,-,0,,1,,,-,,-,,-,0,,3,,8,,3,,,POINT (-120.15502977999972 44.567446178000466),,OREGON
DIST. OF COL.,2014,8,,N,0,,0,,,N,,N,,-,0,,2,,,-,3,,,-,0,,1,,,-,1,,,POINT (-99.11415045099966 39.52368635500045),,DIST. OF COL.
VERMONT,2014,8,,-,8,,96,,21,,20,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,POINT (-72.51763944499965 43.62538292400046),,VERMONT
COLORADO,2014,8,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,,-,0,,1,,1,,2,,,POINT (-106.13360888799969 38.84384047000049),,COLORADO
OKLAHOMA,2014,8,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,2,,,-,,POINT (-97.52106845499969 35.472034350000456),,OKLAHOMA
ARIZONA,2014,8,,-,0,,3,,,-,2,,,-,0,,3,,2,,4,,,-,0,,3,,3,,2,,,POINT (-111.76380949799972 34.865973091000455),,ARIZONA
ALASKA,2014,8,,-,0,,4,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),,ALASKA
INDIANA,2014,8,,-,1,,13,,,-,1,,,-,0,,2,,,-,3,,,-,0,,1,,,-,3,,,POINT (-86.14995579899966 39.76691364600049),,INDIANA
NEVADA,2014,8,,-,0,,2,,,-,,-,,-,0,,1,,,-,3,,,-,0,,1,,1,,,-,,POINT (-117.07183978499972 39.49324126500045),,NEVADA
IDAHO,2014,8,,-,0,,2,,1,,4,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-114.3637261449997 43.682630058000484),,IDAHO
WYOMING,2014,8,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,POINT (-108.10982744299969 43.23554147100049),,WYOMING
SOUTH DAKOTA,2014,8,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,1,,1,,2,,,POINT (-100.37352811899967 44.35313342000046),,SOUTH DAKOTA
MASSACHUSETTS,2014,8,,-,46,,476,,28,,184,,,-,1,,4,,3,,7,,,-,0,,3,,1,,2,,,POINT (-72.08268985899963 42.27687306500047),,MASSACHUSETTS
KENTUCKY,2014,8,,-,0,,9,,2,,3,,,-,0,,1,,2,,3,,,-,0,,1,,1,,1,,,POINT (-84.77496612599964 37.645973909000475),,KENTUCKY
NEW HAMPSHIRE,2014,8,,-,6,,91,,,-,40,,,-,0,,2,,1,,2,,,-,0,,1,,,-,1,,,POINT (-71.50035726399966 43.6559537330005),,NEW HAMPSHIRE
DELAWARE,2014,8,,-,6,,23,,22,,48,,,-,0,,2,,1,,,-,,-,0,,1,,1,,,-,,POINT (-75.57773943699965 39.00883351400046),,DELAWARE
ILLINOIS,2014,15,,-,1,,30,,1,,7,,,-,1,,5,,2,,9,,,-,0,,2,,6,,3,,,,,
CONNECTICUT,2014,8,,-,31,,251,,14,,187,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,POINT (-72.64983753699966 41.56266394200048),,CONNECTICUT
OHIO,2014,8,,-,1,,7,,1,,5,,,-,1,,3,,6,,4,,2,,0,,2,,2,,1,,,POINT (-82.40425685299965 40.06021029700048),,OHIO
WEST VIRGINIA,2014,8,,-,2,,19,,2,,4,,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,,POINT (-80.71263935099967 38.665511497000466),,WEST VIRGINIA
ILLINOIS,2014,8,,-,1,,30,,,-,6,,,-,1,,5,,2,,5,,,-,0,,2,,,-,3,,,POINT (-88.99770813999965 40.48501278700047),,ILLINOIS
MISSISSIPPI,2014,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,,POINT (-89.53802764499966 32.74551123200047),,MISSISSIPPI
TENNESSEE,2014,8,1,,0,,3,,2,,1,,,-,0,,3,,4,,2,,,-,0,,1,,1,,1,,,POINT (-85.77448642199965 35.680943063000484),,TENNESSEE
VIRGIN ISL.,2014,8,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,VIRGIN ISL.
NEW MEXICO,2014,8,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.24057768899968 34.52088247800049),,NEW MEXICO
TEXAS,2014,8,,-,1,,7,,,-,3,,,-,1,,7,,2,,7,,,-,0,,3,,3,,4,,,POINT (-99.4267664729997 31.827243635000457),,TEXAS
KANSAS,2014,8,,-,0,,4,,,-,2,,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,,POINT (-98.20077655499966 38.34774033400049),,KANSAS
RHODE ISLAND,2014,8,,-,9,,54,,,-,3,,,-,0,,8,,1,,,-,,-,0,,0,,,-,1,,,POINT (-71.52246918099962 41.70828281900049),,RHODE ISLAND
FLORIDA,2014,8,,-,2,,14,,8,,13,,,-,1,,3,,6,,13,,1,,1,,3,,10,,16,,,POINT (-81.92895558499964 28.932042899000464),,FLORIDA
MICHIGAN,2014,8,,-,2,,15,,3,,3,,,-,0,,2,,3,,3,,,-,0,,1,,1,,2,,,POINT (-84.71438724399968 44.66131575600048),,MICHIGAN
MAINE,2014,8,,-,15,,99,,24,,29,,,-,0,,2,,2,,,-,,-,0,,1,,,-,1,,,POINT (-68.98502952999962 45.254228663000504),,MAINE
PUERTO RICO,2014,8,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,POINT (-98.34556876399967 26.649497232000442),,PUERTO RICO
NORTH DAKOTA,2014,8,,-,0,,5,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,,POINT (-100.11842599699969 47.47531738700047),,NORTH DAKOTA
MONTANA,2014,8,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,POINT (-109.42441687999968 47.066526051000494),,MONTANA
NEW YORK,2014,8,14,,46,,258,,67,,52,,1,,1,,5,,7,,9,,,-,0,,3,,1,,4,,,POINT (-75.54396639699968 42.82700023900048),,NEW YORK
UTAH,2014,8,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,,POINT (-111.5871285339997 39.36070374600047),,UTAH
NORTH CAROLINA,2014,8,,-,1,,32,,3,,6,,,-,0,,6,,1,,,-,2,,0,,2,,5,,5,,,POINT (-79.15924924699965 35.46622388600048),,NORTH CAROLINA
GUAM,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (144.70297250000056 13.355173397000442),,GUAM
ALABAMA,2014,8,,-,0,,3,,,-,2,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,POINT (-86.63185803899967 32.84057327200048),,ALABAMA
ARKANSAS,2014,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,POINT (-92.27448794899965 34.748651751000466),,ARKANSAS
AMER. SAMOA,2014,8,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,AMER. SAMOA
LOUISIANA,2014,8,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,,POINT (-92.44567554599968 31.312662564000448),,LOUISIANA
NEBRASKA,2014,8,,-,0,,3,,2,,,-,,-,0,,2,,1,,1,,,-,0,,1,,,-,1,,,POINT (-99.36571864599966 41.64104043900045),,NEBRASKA
NEW JERSEY,2014,8,,-,44,,224,,45,,332,,,-,1,,5,,2,,7,,,-,0,,2,,,-,3,,,POINT (-74.27368565099965 40.1305700530005),,NEW JERSEY
GEORGIA,2014,8,,-,0,,2,,,-,7,,,-,1,,5,,7,,10,,,-,0,,2,,2,,4,,,POINT (-83.62757601199968 32.83968004200045),,GEORGIA
SOUTH CAROLINA,2014,8,,-,0,,2,,,-,,-,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,POINT (-81.04536765699964 33.99882060100049),,SOUTH CAROLINA
WISCONSIN,2014,8,,-,15,,184,,15,,36,,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,POINT (-89.81636715299965 44.3931903350005),,WISCONSIN
MARYLAND,2014,8,,-,18,,76,,28,,173,,,-,2,,10,,12,,24,,,-,0,,1,,1,,2,,,POINT (-76.60925970899967 39.2905806980005),,MARYLAND
MISSOURI,2014,8,,-,0,,3,,,-,1,,,-,0,,1,,3,,1,,,-,0,,2,,2,,3,,,POINT (-92.56629737199967 38.63579372300046),,MISSOURI
C.N.M.I.,2014,8,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,C.N.M.I.
UNITED STATES,2014,9,44,,410,,2259,,662,,1830,,12,,27,,52,,156,,175,,10,,9,,22,,82,,134,,,,,
NEW ENGLAND,2014,9,2,,130,,923,,116,,519,,,-,2,,8,,8,,9,,,-,0,,3,,1,,6,,,,,
MID. ATLANTIC,2014,9,30,,192,,1005,,417,,905,,2,,8,,21,,48,,33,,,-,1,,7,,4,,13,,,,,
E.N. CENTRAL,2014,9,1,,19,,223,,21,,58,,,-,3,,8,,12,,18,,1,,0,,4,,4,,10,,,,,
W.N. CENTRAL,2014,9,,-,3,,31,,3,,4,,,-,0,,3,,9,,9,,,-,0,,3,,5,,10,,,,,
S. ATLANTIC,2014,9,11,,48,,290,,97,,311,,9,,6,,17,,42,,60,,4,,1,,5,,26,,36,,,,,
E.S. CENTRAL,2014,9,,-,1,,9,,3,,7,,,-,1,,4,,6,,7,,,-,0,,2,,2,,4,,,,,
W.S. CENTRAL,2014,9,,-,1,,7,,,-,3,,1,,1,,8,,5,,9,,1,,1,,3,,8,,5,,,,,
MOUNTAIN,2014,9,,-,2,,9,,1,,7,,,-,1,,7,,2,,13,,,-,1,,4,,6,,7,,,,,
PACIFIC,2014,9,,-,3,,10,,4,,16,,,-,3,,9,,24,,17,,4,,2,,7,,26,,43,,,,,
NEW MEXICO,2014,9,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.24057768899968 34.52088247800049),,NEW MEXICO
ALASKA,2014,9,,-,0,,4,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),,ALASKA
SOUTH DAKOTA,2014,9,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,,-,0,,1,,1,,2,,,POINT (-100.37352811899967 44.35313342000046),,SOUTH DAKOTA
KENTUCKY,2014,9,,-,0,,9,,2,,4,,,-,0,,1,,2,,3,,,-,0,,1,,1,,1,,,POINT (-84.77496612599964 37.645973909000475),,KENTUCKY
COLORADO,2014,9,,-,0,,0,,,-,,-,,-,0,,3,,,-,4,,,-,0,,1,,1,,2,,,POINT (-106.13360888799969 38.84384047000049),,COLORADO
OKLAHOMA,2014,9,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,2,,,-,,POINT (-97.52106845499969 35.472034350000456),,OKLAHOMA
INDIANA,2014,9,,-,1,,13,,,-,2,,,-,0,,2,,,-,3,,,-,0,,1,,,-,4,,,POINT (-86.14995579899966 39.76691364600049),,INDIANA
OHIO,2014,9,,-,1,,7,,1,,6,,,-,1,,3,,6,,5,,1,,0,,2,,3,,1,,,POINT (-82.40425685299965 40.06021029700048),,OHIO
PENNSYLVANIA,2014,9,8,,79,,541,,255,,455,,,-,1,,5,,9,,3,,,-,0,,3,,1,,2,,,POINT (-77.86069775999965 40.79373106100047),,PENNSYLVANIA
TEXAS,2014,9,,-,1,,7,,,-,3,,,-,1,,8,,3,,8,,1,,0,,3,,5,,4,,,POINT (-99.4267664729997 31.827243635000457),,TEXAS
NEW YORK CITY,2014,9,6,,3,,40,,10,,8,,1,,4,,13,,28,,13,,,-,0,,2,,1,,3,,,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY
