Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013","Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013","Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum, Cum 2013, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week","Ehrlichiosis/Anaplasmosis†, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis†, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2014, flag","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013","Ehrlichiosis/Anaplasmosis†, Undetermined, Cum 2013, flag",Location 1,Location 1 (city),Location 1 (state),Location 2
UNITED STATES,2014,1,,-,12,,90,,,-,,-,1,,25,,86,,1,,2,,,-,2,,22,,,-,,-,,,,
NEW ENGLAND,2014,1,,-,0,,8,,,-,,-,,-,4,,18,,,-,,-,,-,0,,1,,,-,,-,,,,
MID. ATLANTIC,2014,1,,-,2,,10,,,-,,-,1,,7,,31,,1,,1,,,-,0,,3,,,-,,-,,,,
E.N. CENTRAL,2014,1,,-,1,,8,,,-,,-,,-,9,,44,,,-,1,,,-,1,,17,,,-,,-,,,,
W.N. CENTRAL,2014,1,,-,2,,44,,,-,,-,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,,,
S. ATLANTIC,2014,1,,-,1,,22,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,,,
E.S. CENTRAL,2014,1,,-,1,,14,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,,,
W.S. CENTRAL,2014,1,,-,2,,37,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,,
PACIFIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,,,
WEST VIRGINIA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,WEST VIRGINIA,
MICHIGAN,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,POINT (-84.71438724399968 44.66131575600048),,MICHIGAN,
NEW YORK,2014,1,,-,1,,9,,,-,,-,1,,7,,28,,1,,1,,,-,0,,3,,,-,,-,POINT (-75.54396639699968 42.82700023900048),,NEW YORK,
CONNECTICUT,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266394200048),,CONNECTICUT,
NEW MEXICO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-106.24057768899968 34.52088247800049),,NEW MEXICO,
COLORADO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-106.13360888799969 38.84384047000049),,COLORADO,
MARYLAND,2014,1,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-76.60925970899967 39.2905806980005),,MARYLAND,
CALIFORNIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-120.99999889499969 37.638640488000476),,CALIFORNIA,
NEW HAMPSHIRE,2014,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.6559537330005),,NEW HAMPSHIRE,
PUERTO RICO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-98.34556876399967 26.649497232000442),,PUERTO RICO,
ILLINOIS,2014,1,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501278700047),,ILLINOIS,
TENNESSEE,2014,1,,-,1,,9,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,POINT (-85.77448642199965 35.680943063000484),,TENNESSEE,
OKLAHOMA,2014,1,,-,0,,34,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472034350000456),,OKLAHOMA,
WISCONSIN,2014,1,,-,0,,6,,,-,,-,,-,9,,43,,,-,1,,,-,0,,5,,,-,,-,POINT (-89.81636715299965 44.3931903350005),,WISCONSIN,
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-94.79419697699967 46.35564867700049),,MINNESOTA,
GEORGIA,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-83.62757601199968 32.83968004200045),,GEORGIA,
PENNSYLVANIA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373106100047),,PENNSYLVANIA,
KENTUCKY,2014,1,,-,0,,7,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645973909000475),,KENTUCKY,
ARKANSAS,2014,1,,-,2,,17,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.748651751000466),,ARKANSAS,
OREGON,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.567446178000466),,OREGON,
DELAWARE,2014,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,DELAWARE,
GUAM,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-120.52155783099971 34.91997872200045),,GUAM,
ARIZONA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,ARIZONA,
VERMONT,2014,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538292400046),,VERMONT,
NEW YORK CITY,2014,1,,-,0,,5,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY,
DIST. OF COL.,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-99.11415045099966 39.52368635500045),,DIST. OF COL.,
NORTH CAROLINA,2014,1,,-,0,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,POINT (-79.15924924699965 35.46622388600048),,NORTH CAROLINA,
MISSISSIPPI,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-89.53802764499966 32.74551123200047),,MISSISSIPPI,
VIRGINIA,2014,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.54268075100049),,VIRGINIA,
UTAH,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070374600047),,UTAH,
LOUISIANA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312662564000448),,LOUISIANA,
WYOMING,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.23554147100049),,WYOMING,
IOWA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-93.81648936699969 42.469404401000475),,IOWA,
IDAHO,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-114.3637261449997 43.682630058000484),,IDAHO,
NEW JERSEY,2014,1,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,POINT (-74.27368565099965 40.1305700530005),,NEW JERSEY,
SOUTH DAKOTA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313342000046),,SOUTH DAKOTA,
MONTANA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-109.42441687999968 47.066526051000494),,MONTANA,
SOUTH CAROLINA,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882060100049),,SOUTH CAROLINA,
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,VIRGIN ISL.,
NORTH DAKOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,POINT (-100.11842599699969 47.47531738700047),,NORTH DAKOTA,
NEBRASKA,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,NEBRASKA,
AMER. SAMOA,2014,1,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,POINT (-99.11415045099966 39.52368635500045),,AMER. SAMOA,
OHIO,2014,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-82.40425685299965 40.06021029700048),,OHIO,
KANSAS,2014,1,,-,1,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-98.20077655499966 38.34774033400049),,KANSAS,
INDIANA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,12,,,-,,-,POINT (-86.14995579899966 39.76691364600049),,INDIANA,
TEXAS,2014,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827243635000457),,TEXAS,
MAINE,2014,1,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,0,,1,,,-,,-,POINT (-68.98502952999962 45.254228663000504),,MAINE,
NEVADA,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.49324126500045),,NEVADA,
MISSOURI,2014,1,,-,1,,39,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,POINT (-92.56629737199967 38.63579372300046),,MISSOURI,
ALABAMA,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-86.63185803899967 32.84057327200048),,ALABAMA,
FLORIDA,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-81.92895558499964 28.932042899000464),,FLORIDA,
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,C.N.M.I.,
HAWAII,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-157.85774691599974 21.30485166200043),,HAWAII,
WASHINGTON,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.47002746299972 47.522287905000496),,WASHINGTON,
ALASKA,2014,1,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-147.72205669099972 64.84507923900048),,ALASKA,
RHODE ISLAND,2014,1,,-,0,,8,,,-,,-,,-,0,,14,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.70828281900049),,RHODE ISLAND,
MASSACHUSETTS,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687306500047),,MASSACHUSETTS,
UNITED STATES,2014,2,1,,13,,90,,1,,2,,,-,25,,86,,1,,3,,,-,2,,22,,,-,,-,,,,
NEW ENGLAND,2014,2,,-,0,,8,,,-,1,,,-,4,,18,,,-,,-,,-,0,,1,,,-,,-,,,,
MID. ATLANTIC,2014,2,,-,2,,10,,,-,,-,,-,7,,31,,1,,1,,,-,0,,3,,,-,,-,,,,
E.N. CENTRAL,2014,2,,-,1,,8,,,-,,-,,-,10,,44,,,-,2,,,-,1,,17,,,-,,-,,,,
W.N. CENTRAL,2014,2,,-,2,,44,,,-,,-,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,,,
S. ATLANTIC,2014,2,1,,1,,22,,1,,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,,,
E.S. CENTRAL,2014,2,,-,1,,14,,,-,1,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,,,
W.S. CENTRAL,2014,2,,-,2,,37,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,,
PACIFIC,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,,,
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-94.79419697699967 46.35564867700049),,MINNESOTA,
RHODE ISLAND,2014,2,,-,0,,8,,,-,,-,,-,0,,14,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.70828281900049),,RHODE ISLAND,
VERMONT,2014,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538292400046),,VERMONT,
TENNESSEE,2014,2,,-,1,,9,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,POINT (-85.77448642199965 35.680943063000484),,TENNESSEE,
FLORIDA,2014,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-81.92895558499964 28.932042899000464),,FLORIDA,
DIST. OF COL.,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-99.11415045099966 39.52368635500045),,DIST. OF COL.,
COLORADO,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-106.13360888799969 38.84384047000049),,COLORADO,
IOWA,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-93.81648936699969 42.469404401000475),,IOWA,
MAINE,2014,2,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,0,,1,,,-,,-,POINT (-68.98502952999962 45.254228663000504),,MAINE,
UTAH,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070374600047),,UTAH,
SOUTH DAKOTA,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313342000046),,SOUTH DAKOTA,
ARKANSAS,2014,2,,-,2,,17,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.748651751000466),,ARKANSAS,
CALIFORNIA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-120.99999889499969 37.638640488000476),,CALIFORNIA,
VIRGIN ISL.,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,VIRGIN ISL.,
MASSACHUSETTS,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687306500047),,MASSACHUSETTS,
NEW JERSEY,2014,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,POINT (-74.27368565099965 40.1305700530005),,NEW JERSEY,
MISSISSIPPI,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-89.53802764499966 32.74551123200047),,MISSISSIPPI,
LOUISIANA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312662564000448),,LOUISIANA,
NORTH CAROLINA,2014,2,,-,0,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,POINT (-79.15924924699965 35.46622388600048),,NORTH CAROLINA,
WISCONSIN,2014,2,,-,0,,6,,,-,,-,,-,10,,43,,,-,1,,,-,0,,5,,,-,,-,POINT (-89.81636715299965 44.3931903350005),,WISCONSIN,
OREGON,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.567446178000466),,OREGON,
MONTANA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.066526051000494),,MONTANA,
NORTH DAKOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,POINT (-100.11842599699969 47.47531738700047),,NORTH DAKOTA,
CONNECTICUT,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266394200048),,CONNECTICUT,
PENNSYLVANIA,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373106100047),,PENNSYLVANIA,
WASHINGTON,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.47002746299972 47.522287905000496),,WASHINGTON,
INDIANA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,12,,,-,,-,POINT (-86.14995579899966 39.76691364600049),,INDIANA,
NEW YORK,2014,2,,-,1,,9,,,-,,-,,-,7,,28,,1,,1,,,-,0,,3,,,-,,-,POINT (-75.54396639699968 42.82700023900048),,NEW YORK,
GUAM,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (144.70297250000056 13.355173397000442),,GUAM,
GEORGIA,2014,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-83.62757601199968 32.83968004200045),,GEORGIA,
NEW YORK CITY,2014,2,,-,0,,5,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY,
MICHIGAN,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,POINT (-84.71438724399968 44.66131575600048),,MICHIGAN,
NEW MEXICO,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-106.24057768899968 34.52088247800049),,NEW MEXICO,
ALABAMA,2014,2,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-86.63185803899967 32.84057327200048),,ALABAMA,
ALASKA,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-147.72205669099972 64.84507923900048),,ALASKA,
ARIZONA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,ARIZONA,
MARYLAND,2014,2,1,,0,,5,,1,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-76.60925970899967 39.2905806980005),,MARYLAND,
DELAWARE,2014,2,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,DELAWARE,
MISSOURI,2014,2,,-,1,,39,,,-,,-,,-,0,,2,,,-,,-,,-,0,,2,,,-,,-,POINT (-92.56629737199967 38.63579372300046),,MISSOURI,
TEXAS,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827243635000457),,TEXAS,
NEBRASKA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,NEBRASKA,
PUERTO RICO,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-98.34556876399967 26.649497232000442),,PUERTO RICO,
OKLAHOMA,2014,2,,-,0,,34,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472034350000456),,OKLAHOMA,
NEVADA,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.49324126500045),,NEVADA,
HAWAII,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-157.85774691599974 21.30485166200043),,HAWAII,
AMER. SAMOA,2014,2,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,POINT (-99.11415045099966 39.52368635500045),,AMER. SAMOA,
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,C.N.M.I.,
SOUTH CAROLINA,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882060100049),,SOUTH CAROLINA,
KENTUCKY,2014,2,,-,0,,7,,,-,1,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645973909000475),,KENTUCKY,
WYOMING,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.23554147100049),,WYOMING,
IDAHO,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,POINT (-114.3637261449997 43.682630058000484),,IDAHO,
VIRGINIA,2014,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.54268075100049),,VIRGINIA,
NEW HAMPSHIRE,2014,2,,-,0,,1,,,-,1,,,-,1,,5,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.6559537330005),,NEW HAMPSHIRE,
OHIO,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-82.40425685299965 40.06021029700048),,OHIO,
ILLINOIS,2014,2,,-,0,,7,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501278700047),,ILLINOIS,
KANSAS,2014,2,,-,1,,8,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-98.20077655499966 38.34774033400049),,KANSAS,
WEST VIRGINIA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,WEST VIRGINIA,
UNITED STATES,2014,3,,-,13,,90,,1,,5,,,-,25,,86,,2,,6,,,-,2,,22,,,-,,-,,,,
NEW ENGLAND,2014,3,,-,0,,8,,,-,1,,,-,4,,18,,,-,,-,,-,0,,1,,,-,,-,,,,
MID. ATLANTIC,2014,3,,-,2,,10,,,-,,-,,-,7,,31,,2,,2,,,-,0,,3,,,-,,-,,,,
E.N. CENTRAL,2014,3,,-,1,,8,,,-,1,,,-,10,,44,,,-,4,,,-,1,,17,,,-,,-,,,,
W.N. CENTRAL,2014,3,,-,2,,44,,,-,1,,,-,0,,4,,,-,,-,,-,0,,2,,,-,,-,,,,
S. ATLANTIC,2014,3,,-,1,,22,,1,,1,,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,,,
E.S. CENTRAL,2014,3,,-,1,,14,,,-,1,,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,,,
W.S. CENTRAL,2014,3,,-,2,,37,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,,,
PACIFIC,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,,,
MASSACHUSETTS,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687306500047),,MASSACHUSETTS,
ARIZONA,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,ARIZONA,
WEST VIRGINIA,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,WEST VIRGINIA,
DELAWARE,2014,3,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,DELAWARE,
MONTANA,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.066526051000494),,MONTANA,
NEW JERSEY,2014,3,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,POINT (-74.27368565099965 40.1305700530005),,NEW JERSEY,
NEBRASKA,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,NEBRASKA,
