Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column,Counties,States
WYOMING,2020,8,,-,5,,2,,5,,,-,1,,,-,,-,WYOMING,,20200856,POINT (-107.55145 42.999627),3084,14
PACIFIC,2020,8,5,,43,,76,,148,,,-,9,,,-,3,,,PACIFIC,20200857,,,
ALASKA,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200858,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2020,8,5,,28,,54,,72,,,-,8,,,-,2,,CALIFORNIA,,20200859,POINT (-119.662127 37.211164),1196,8
HAWAII,2020,8,,-,1,,,-,2,,,-,0,,,-,,-,HAWAII,,20200860,POINT (-157.854309 21.361013),1657,4
OREGON,2020,8,,-,11,,8,,40,,,-,1,,,-,,-,OREGON,,20200861,POINT (-120.605279 43.940449),719,12
WASHINGTON,2020,8,,-,10,,14,,34,,,-,4,,,-,1,,WASHINGTON,,20200862,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200863,,,
AMERICAN SAMOA,2020,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200864,,,
NORTHERN MARIANA ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200865,POINT (145.725693 15.1834),,
GUAM,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200866,POINT (144.653198 13.3532),,
PUERTO RICO,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200867,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2020,8,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200868,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2020,8,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200869,,,
TOTAL,2020,8,74,,435,,873,,1227,,1,,549,,14,,18,,,TOTAL,20200870,,,
US RESIDENTS,2020,9,66,,435,,996,,1363,,,-,549,,14,,21,,,US RESIDENTS,20200901,,,
NEW ENGLAND,2020,9,2,,26,,48,,67,,,-,91,,1,,,-,,NEW ENGLAND,20200902,,,
CONNECTICUT,2020,9,,-,5,,5,,16,,,-,26,,,-,,-,CONNECTICUT,,20200903,POINT (-72.738288 41.575155),1043,24
MAINE,2020,9,,-,12,,3,,2,,,-,0,,,-,,-,MAINE,,20200904,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2020,9,2,,15,,24,,26,,,-,60,,1,,,-,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2020,9,,-,4,,6,,17,,,-,2,,,-,,-,NEW HAMPSHIRE,,20200906,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2020,9,,-,7,,5,,2,,,-,5,,,-,,-,RHODE ISLAND,,20200907,POINT (-71.534637 41.572574),2703,27
VERMONT,2020,9,,-,2,,5,,4,,,-,5,,,-,,-,VERMONT,,20200908,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2020,9,14,,70,,174,,177,,,-,159,,1,,3,,,MIDDLE ATLANTIC,20200909,,,
NEW JERSEY,2020,9,1,,18,,19,,29,,,-,48,,1,,1,,NEW JERSEY,,20200910,POINT (-74.655514 40.110253),2447,46
NEW YORK,2020,9,5,,27,,55,,33,,,-,85,,,-,,-,NEW YORK,,20200911,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2020,9,2,,19,,46,,46,,,-,44,,,-,2,,,NEW YORK CITY,20200912,,,
PENNSYLVANIA,2020,9,6,,21,,54,,69,,,N,,NC,,N,,N,PENNSYLVANIA,,20200913,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2020,9,16,,111,,179,,248,,,-,121,,6,,4,,,EAST NORTH CENTRAL,20200914,,,
ILLINOIS,2020,9,,-,24,,22,,50,,,-,51,,1,,2,,ILLINOIS,,20200915,POINT (-89.148632 40.124144),1721,34
INDIANA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20200916,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2020,9,,-,20,,14,,55,,,-,69,,,-,1,,MICHIGAN,,20200917,POINT (-85.730977 44.874798),1262,50
OHIO,2020,9,13,,32,,100,,78,,,-,37,,4,,,-,OHIO,,20200918,POINT (-82.70936 40.415534),592,38
WISCONSIN,2020,9,3,,40,,43,,65,,,-,28,,1,,1,,WISCONSIN,,20200919,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2020,9,3,,51,,84,,143,,,-,60,,,-,2,,,WEST NORTH CENTRAL,20200920,,,
IOWA,2020,9,3,,30,,44,,60,,,-,48,,,-,1,,IOWA,,20200921,POINT (-93.500061 42.074659),299,16
KANSAS,2020,9,,-,4,,1,,14,,,-,2,,,-,,-,KANSAS,,20200922,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20200923,POINT (-94.198308 46.349153),1400,1
MISSOURI,2020,9,,-,24,,16,,34,,,-,16,,,-,1,,MISSOURI,,20200924,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2020,9,,-,8,,12,,20,,,-,6,,,-,,-,NEBRASKA,,20200925,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2020,9,,-,3,,,-,2,,,N,,NC,,N,,N,NORTH DAKOTA,,20200926,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2020,9,,-,11,,11,,13,,,-,6,,,-,,-,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2020,9,16,,79,,197,,245,,,-,220,,4,,3,,,SOUTH ATLANTIC,20200928,,,
DELAWARE,2020,9,,-,4,,3,,1,,,-,2,,,-,,-,DELAWARE,,20200929,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2020,9,,-,2,,,-,6,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20200930,POINT (-77.016275 38.904785),1049,44
FLORIDA,2020,9,9,,21,,57,,90,,,-,114,,1,,1,,FLORIDA,,20200931,POINT (-82.420978 28.260731),1080,30
GEORGIA,2020,9,,-,23,,31,,39,,,-,14,,,-,1,,GEORGIA,,20200932,POINT (-83.426574 32.638481),1611,31
MARYLAND,2020,9,,-,6,,18,,7,,,-,78,,2,,,-,MARYLAND,,20200933,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2020,9,,-,10,,25,,34,,,-,31,,,-,1,,NORTH CAROLINA,,20200934,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2020,9,1,,7,,14,,20,,,-,4,,,-,,-,SOUTH CAROLINA,,20200935,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2020,9,6,,51,,49,,34,,,-,47,,1,,,-,VIRGINIA,,20200936,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2020,9,,-,4,,,-,14,,,-,2,,,-,,-,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2020,9,2,,45,,56,,97,,,-,17,,1,,,-,,EAST SOUTH CENTRAL,20200938,,,
ALABAMA,2020,9,,-,14,,18,,32,,,N,,NC,,N,,N,ALABAMA,,20200939,POINT (-86.844516 32.756889),94,29
KENTUCKY,2020,9,,-,21,,,-,28,,,-,0,,,-,,-,KENTUCKY,,20200940,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2020,9,,-,8,,11,,10,,,N,,NC,,N,,N,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378),494,32
TENNESSEE,2020,9,2,,13,,27,,27,,,-,17,,1,,,-,TENNESSEE,,20200942,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2020,9,8,,115,,94,,135,,,-,127,,1,,3,,,WEST SOUTH CENTRAL,20200943,,,
ARKANSAS,2020,9,1,,9,,8,,11,,,-,7,,,-,,-,ARKANSAS,,20200944,POINT (-92.439162 34.899825),998,15
LOUISIANA,2020,9,,-,18,,4,,35,,,-,14,,,-,,-,LOUISIANA,,20200945,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2020,9,3,,10,,15,,14,,,N,,NC,,N,,N,OKLAHOMA,,20200946,POINT (-97.508297 35.583449),712,20
TEXAS,2020,9,4,,110,,67,,75,,,-,119,,1,,3,,TEXAS,,20200947,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2020,9,1,,34,,80,,85,,,-,15,,,-,2,,,MOUNTAIN,20200948,,,
ARIZONA,2020,9,,-,8,,16,,21,,,-,5,,,-,1,,ARIZONA,,20200949,POINT (-111.664616 34.293239),987,7
COLORADO,2020,9,,-,14,,25,,15,,,-,10,,,-,,-,COLORADO,,20200950,POINT (-105.547832 38.998552),1062,9
IDAHO,2020,9,,-,10,,5,,13,,,N,,NC,,N,,N,IDAHO,,20200951,POINT (-114.659366 44.389073),1730,5
MONTANA,2020,9,1,,5,,10,,2,,,-,1,,,-,,-,MONTANA,,20200952,POINT (-109.645127 47.033521),2283,2
NEVADA,2020,9,,-,4,,4,,5,,,N,,NC,,N,,N,NEVADA,,20200953,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2020,9,,-,7,,7,,4,,,-,4,,,-,,-,NEW MEXICO,,20200954,POINT (-106.108388 34.421369),616,11
UTAH,2020,9,,-,14,,11,,20,,,-,3,,,-,1,,UTAH,,20200955,POINT (-111.678222 39.323779),900,13
WYOMING,2020,9,,-,5,,2,,5,,,-,1,,,-,,-,WYOMING,,20200956,POINT (-107.55145 42.999627),3084,14
PACIFIC,2020,9,4,,43,,84,,166,,,-,9,,,-,4,,,PACIFIC,20200957,,,
ALASKA,2020,9,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20200958,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2020,9,1,,28,,57,,81,,,-,8,,,-,3,,CALIFORNIA,,20200959,POINT (-119.662127 37.211164),1196,8
HAWAII,2020,9,,-,1,,,-,2,,,-,0,,,-,,-,HAWAII,,20200960,POINT (-157.854309 21.361013),1657,4
OREGON,2020,9,,-,11,,8,,44,,,-,1,,,-,,-,OREGON,,20200961,POINT (-120.605279 43.940449),719,12
WASHINGTON,2020,9,3,,10,,19,,39,,,-,4,,,-,1,,WASHINGTON,,20200962,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200963,,,
AMERICAN SAMOA,2020,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20200964,,,
NORTHERN MARIANA ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200965,POINT (145.725693 15.1834),,
GUAM,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200966,POINT (144.653198 13.3532),,
PUERTO RICO,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20200967,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20200968,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2020,9,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200969,,,
TOTAL,2020,9,66,,435,,996,,1363,,,-,549,,14,,21,,,TOTAL,20200970,,,
US RESIDENTS,2020,10,38,,435,,1095,,1523,,1,,550,,15,,22,,,US RESIDENTS,20201001,,,
NEW ENGLAND,2020,10,1,,26,,54,,72,,,-,91,,1,,,-,,NEW ENGLAND,20201002,,,
CONNECTICUT,2020,10,,-,5,,5,,17,,,-,26,,,-,,-,CONNECTICUT,,20201003,POINT (-72.738288 41.575155),1043,24
MAINE,2020,10,,-,12,,3,,2,,,-,0,,,-,,-,MAINE,,20201004,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2020,10,1,,15,,27,,28,,,-,60,,1,,,-,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2020,10,,-,4,,9,,17,,,-,2,,,-,,-,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2020,10,,-,7,,5,,2,,,-,5,,,-,,-,RHODE ISLAND,,20201007,POINT (-71.534637 41.572574),2703,27
VERMONT,2020,10,,-,2,,5,,6,,,-,5,,,-,,-,VERMONT,,20201008,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2020,10,4,,70,,186,,197,,1,,160,,2,,3,,,MIDDLE ATLANTIC,20201009,,,
NEW JERSEY,2020,10,,-,18,,21,,31,,,-,48,,1,,1,,NEW JERSEY,,20201010,POINT (-74.655514 40.110253),2447,46
NEW YORK,2020,10,4,,27,,59,,40,,1,,86,,1,,,-,NEW YORK,,20201011,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2020,10,,-,19,,50,,49,,,-,44,,,-,2,,,NEW YORK CITY,20201012,,,
PENNSYLVANIA,2020,10,,-,21,,56,,77,,,N,,NC,,N,,N,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2020,10,7,,111,,196,,272,,,-,121,,6,,4,,,EAST NORTH CENTRAL,20201014,,,
ILLINOIS,2020,10,,-,24,,27,,57,,,-,51,,1,,2,,ILLINOIS,,20201015,POINT (-89.148632 40.124144),1721,34
INDIANA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201016,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2020,10,,-,20,,14,,57,,,-,69,,,-,1,,MICHIGAN,,20201017,POINT (-85.730977 44.874798),1262,50
OHIO,2020,10,3,,32,,103,,85,,,-,37,,4,,,-,OHIO,,20201018,POINT (-82.70936 40.415534),592,38
WISCONSIN,2020,10,4,,40,,52,,73,,,-,28,,1,,1,,WISCONSIN,,20201019,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2020,10,6,,51,,104,,162,,,-,60,,,-,2,,,WEST NORTH CENTRAL,20201020,,,
IOWA,2020,10,2,,30,,50,,68,,,-,48,,,-,1,,IOWA,,20201021,POINT (-93.500061 42.074659),299,16
KANSAS,2020,10,,-,4,,1,,14,,,-,2,,,-,,-,KANSAS,,20201022,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201023,POINT (-94.198308 46.349153),1400,1
MISSOURI,2020,10,4,,24,,30,,37,,,-,16,,,-,1,,MISSOURI,,20201024,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2020,10,,-,8,,12,,23,,,-,6,,,-,,-,NEBRASKA,,20201025,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2020,10,,-,3,,,-,2,,,N,,NC,,N,,N,NORTH DAKOTA,,20201026,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2020,10,,-,11,,11,,18,,,-,6,,,-,,-,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2020,10,6,,79,,211,,273,,,-,220,,4,,3,,,SOUTH ATLANTIC,20201028,,,
DELAWARE,2020,10,,-,4,,3,,1,,,-,2,,,-,,-,DELAWARE,,20201029,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2020,10,,-,2,,,-,7,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20201030,POINT (-77.016275 38.904785),1049,44
FLORIDA,2020,10,2,,21,,59,,105,,,-,114,,1,,1,,FLORIDA,,20201031,POINT (-82.420978 28.260731),1080,30
GEORGIA,2020,10,2,,23,,38,,43,,,-,14,,,-,1,,GEORGIA,,20201032,POINT (-83.426574 32.638481),1611,31
MARYLAND,2020,10,,-,6,,18,,8,,,-,78,,2,,,-,MARYLAND,,20201033,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2020,10,,-,10,,25,,37,,,-,31,,,-,1,,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2020,10,,-,7,,14,,21,,,-,4,,,-,,-,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2020,10,2,,51,,54,,37,,,-,47,,1,,,-,VIRGINIA,,20201036,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2020,10,,-,4,,,-,14,,,-,2,,,-,,-,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2020,10,1,,45,,59,,104,,,-,17,,1,,,-,,EAST SOUTH CENTRAL,20201038,,,
ALABAMA,2020,10,,-,14,,18,,35,,,N,,NC,,N,,N,ALABAMA,,20201039,POINT (-86.844516 32.756889),94,29
KENTUCKY,2020,10,,-,21,,,-,28,,,-,0,,,-,,-,KENTUCKY,,20201040,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2020,10,1,,8,,13,,12,,,N,,NC,,N,,N,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378),494,32
TENNESSEE,2020,10,,-,13,,28,,29,,,-,17,,1,,,-,TENNESSEE,,20201042,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2020,10,5,,167,,102,,164,,,-,127,,1,,4,,,WEST SOUTH CENTRAL,20201043,,,
ARKANSAS,2020,10,1,,9,,9,,19,,,-,7,,,-,,-,ARKANSAS,,20201044,POINT (-92.439162 34.899825),998,15
LOUISIANA,2020,10,1,,18,,5,,41,,,-,14,,,-,,-,LOUISIANA,,20201045,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2020,10,1,,10,,16,,17,,,N,,NC,,N,,N,OKLAHOMA,,20201046,POINT (-97.508297 35.583449),712,20
TEXAS,2020,10,2,,162,,72,,87,,,-,119,,1,,4,,TEXAS,,20201047,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2020,10,5,,34,,92,,96,,,-,15,,,-,2,,,MOUNTAIN,20201048,,,
ARIZONA,2020,10,1,,8,,18,,24,,,-,5,,,-,1,,ARIZONA,,20201049,POINT (-111.664616 34.293239),987,7
COLORADO,2020,10,2,,14,,27,,17,,,-,10,,,-,,-,COLORADO,,20201050,POINT (-105.547832 38.998552),1062,9
IDAHO,2020,10,,-,10,,5,,15,,,N,,NC,,N,,N,IDAHO,,20201051,POINT (-114.659366 44.389073),1730,5
MONTANA,2020,10,,-,5,,10,,2,,,-,1,,,-,,-,MONTANA,,20201052,POINT (-109.645127 47.033521),2283,2
NEVADA,2020,10,,-,4,,4,,5,,,N,,NC,,N,,N,NEVADA,,20201053,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2020,10,1,,7,,8,,4,,,-,4,,,-,,-,NEW MEXICO,,20201054,POINT (-106.108388 34.421369),616,11
UTAH,2020,10,1,,14,,16,,24,,,-,3,,,-,1,,UTAH,,20201055,POINT (-111.678222 39.323779),900,13
WYOMING,2020,10,,-,5,,4,,5,,,-,1,,,-,,-,WYOMING,,20201056,POINT (-107.55145 42.999627),3084,14
PACIFIC,2020,10,3,,43,,91,,183,,,-,9,,,-,4,,,PACIFIC,20201057,,,
ALASKA,2020,10,,-,2,,,-,,-,,-,0,,,-,,-,ALASKA,,20201058,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2020,10,1,,28,,59,,87,,,-,8,,,-,3,,CALIFORNIA,,20201059,POINT (-119.662127 37.211164),1196,8
HAWAII,2020,10,,-,1,,,-,2,,,-,0,,,-,,-,HAWAII,,20201060,POINT (-157.854309 21.361013),1657,4
OREGON,2020,10,,-,11,,9,,48,,,-,1,,,-,,-,OREGON,,20201061,POINT (-120.605279 43.940449),719,12
WASHINGTON,2020,10,2,,10,,23,,46,,,-,4,,,-,1,,WASHINGTON,,20201062,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201063,,,
AMERICAN SAMOA,2020,10,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20201064,,,
NORTHERN MARIANA ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834),,
GUAM,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532),,
PUERTO RICO,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2020,10,,-,2,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20201069,,,
TOTAL,2020,10,38,,435,,1095,,1523,,1,,550,,15,,22,,,TOTAL,20201070,,,
US RESIDENTS,2020,11,36,,435,,1187,,1681,,1,,550,,16,,29,,,US RESIDENTS,20201101,,,
NEW ENGLAND,2020,11,,-,26,,57,,78,,,-,91,,1,,,-,,NEW ENGLAND,20201102,,,
CONNECTICUT,2020,11,,-,5,,6,,18,,,-,26,,,-,,-,CONNECTICUT,,20201103,POINT (-72.738288 41.575155),1043,24
MAINE,2020,11,,-,12,,3,,3,,,-,0,,,-,,-,MAINE,,20201104,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2020,11,,-,15,,28,,31,,,-,60,,1,,,-,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2020,11,,-,4,,9,,18,,,-,2,,,-,,-,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2020,11,,-,7,,5,,2,,,-,5,,,-,,-,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574),2703,27
VERMONT,2020,11,,-,2,,6,,6,,,-,5,,,-,,-,VERMONT,,20201108,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2020,11,7,,70,,200,,214,,,-,160,,2,,4,,,MIDDLE ATLANTIC,20201109,,,
NEW JERSEY,2020,11,,-,18,,22,,34,,,-,48,,1,,2,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253),2447,46
NEW YORK,2020,11,4,,27,,63,,45,,,-,86,,1,,,-,NEW YORK,,20201111,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2020,11,,-,19,,55,,55,,,-,44,,,-,2,,,NEW YORK CITY,20201112,,,
PENNSYLVANIA,2020,11,3,,21,,60,,80,,,N,,NC,,N,,N,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2020,11,3,,111,,201,,303,,,-,121,,6,,6,,,EAST NORTH CENTRAL,20201114,,,
ILLINOIS,2020,11,,-,24,,28,,62,,,-,51,,1,,3,,ILLINOIS,,20201115,POINT (-89.148632 40.124144),1721,34
INDIANA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20201116,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2020,11,,-,20,,14,,61,,,-,69,,,-,1,,MICHIGAN,,20201117,POINT (-85.730977 44.874798),1262,50
OHIO,2020,11,2,,32,,105,,93,,,-,37,,4,,,-,OHIO,,20201118,POINT (-82.70936 40.415534),592,38
WISCONSIN,2020,11,1,,40,,54,,87,,,-,28,,1,,2,,WISCONSIN,,20201119,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2020,11,,-,51,,110,,177,,,-,60,,,-,4,,,WEST NORTH CENTRAL,20201120,,,
IOWA,2020,11,,-,30,,50,,75,,,-,48,,,-,1,,IOWA,,20201121,POINT (-93.500061 42.074659),299,16
KANSAS,2020,11,,-,4,,1,,18,,,-,2,,,-,,-,KANSAS,,20201122,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20201123,POINT (-94.198308 46.349153),1400,1
MISSOURI,2020,11,,-,24,,30,,38,,,-,16,,,-,2,,MISSOURI,,20201124,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2020,11,,-,8,,15,,24,,,-,6,,,-,1,,NEBRASKA,,20201125,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2020,11,,-,3,,,-,2,,,N,,NC,,N,,N,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2020,11,,-,11,,14,,20,,,-,6,,,-,,-,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2020,11,13,,79,,239,,302,,1,,220,,5,,3,,,SOUTH ATLANTIC,20201128,,,
DELAWARE,2020,11,,-,4,,3,,1,,,-,2,,,-,,-,DELAWARE,,20201129,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2020,11,,-,2,,2,,8,,,-,11,,,-,,-,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785),1049,44
FLORIDA,2020,11,8,,21,,78,,115,,,-,114,,1,,1,,FLORIDA,,20201131,POINT (-82.420978 28.260731),1080,30
GEORGIA,2020,11,1,,23,,39,,49,,,-,14,,,-,1,,GEORGIA,,20201132,POINT (-83.426574 32.638481),1611,31
MARYLAND,2020,11,3,,6,,21,,9,,,-,78,,2,,,-,MARYLAND,,20201133,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2020,11,,-,10,,25,,42,,,-,31,,,-,1,,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2020,11,,-,7,,15,,21,,,-,4,,,-,,-,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2020,11,1,,51,,56,,43,,1,,47,,2,,,-,VIRGINIA,,20201136,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2020,11,,-,4,,,-,14,,,-,2,,,-,,-,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2020,11,,-,45,,65,,112,,,-,17,,1,,1,,,EAST SOUTH CENTRAL,20201138,,,
ALABAMA,2020,11,,-,14,,24,,39,,,N,,NC,,N,,N,ALABAMA,,20201139,POINT (-86.844516 32.756889),94,29
KENTUCKY,2020,11,,-,21,,,-,28,,,-,0,,,-,,-,KENTUCKY,,20201140,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2020,11,,-,8,,13,,14,,,N,,NC,,N,,N,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378),494,32
TENNESSEE,2020,11,,-,13,,28,,31,,,-,17,,1,,1,,TENNESSEE,,20201142,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2020,11,7,,200,,112,,181,,,-,127,,1,,4,,,WEST SOUTH CENTRAL,20201143,,,
ARKANSAS,2020,11,1,,9,,10,,20,,,-,7,,,-,,-,ARKANSAS,,20201144,POINT (-92.439162 34.899825),998,15
LOUISIANA,2020,11,,-,18,,5,,42,,,-,14,,,-,,-,LOUISIANA,,20201145,POINT (-91.840238 30.921314),1537,22
