index,fips,year,temp,tempc
154,4,1924,58.61666667,14.78703704
155,4,1925,59.1,15.05555556
156,4,1926,59.60833333,15.33796296
157,4,1927,59.53333333,15.2962963
158,4,1928,59.63333333,15.35185185
159,4,1929,58.53333333,14.74074074
160,4,1930,58.53333333,14.74074074
161,4,1931,59.21666667,15.12037037
162,4,1932,58.38333333,14.65740741
163,4,1933,58.75,14.86111111
164,4,1934,61.73333333,16.51851852
165,4,1935,59,15
166,4,1936,60.30833333,15.72685185
167,4,1937,59.125,15.06944444
168,4,1938,59.30833333,15.1712963
169,4,1939,59.64166667,15.35648148
170,4,1940,60.85,16.02777778
171,4,1941,58.16666667,14.53703704
172,4,1942,59.175,15.09722222
173,4,1943,60.48333333,15.82407407
174,4,1944,57.99166667,14.43981481
175,4,1945,58.51666667,14.73148148
176,4,1946,59.30833333,15.1712963
177,4,1947,59.34166667,15.18981481
178,4,1948,58.55833333,14.75462963
179,4,1949,58.16666667,14.53703704
180,4,1950,60.49166667,15.8287037
181,4,1951,58.85833333,14.9212963
182,4,1952,58.825,14.90277778
183,4,1953,59.25,15.13888889
184,4,1954,60.88333333,16.0462963
185,4,1955,58.45,14.69444444
186,4,1956,59.54166667,15.30092593
187,4,1957,59.54166667,15.30092593
188,4,1958,60.39166667,15.77314815
189,4,1959,60.2,15.66666667
190,4,1960,59.575,15.31944444
191,4,1961,59.25,15.13888889
192,4,1962,59.83333333,15.46296296
193,4,1963,59.79166667,15.43981481
194,4,1964,57.76666667,14.31481481
195,4,1965,58.475,14.70833333
196,4,1966,59.5,15.27777778
197,4,1967,59,15
198,4,1968,58.65,14.80555556
199,4,1969,59.7,15.38888889
200,4,1970,58.95833333,14.97685185
201,4,1971,58.21666667,14.56481481
202,4,1972,59.64166667,15.35648148
203,4,1973,58.39166667,14.66203704
204,4,1974,59.48333333,15.26851852
205,4,1975,57.89166667,14.38425926
206,4,1976,58.96666667,14.98148148
207,4,1977,60.20833333,15.6712963
208,4,1978,59.8,15.44444444
209,4,1979,58.81666667,14.89814815
210,4,1980,60.23333333,15.68518519
211,4,1981,61.325,16.29166667
212,4,1982,58.74166667,14.85648148
213,4,1983,59.2,15.11111111
214,4,1984,59.44166667,15.24537037
215,4,1985,59.55,15.30555556
216,4,1986,60.575,15.875
217,4,1987,59.31666667,15.17592593
218,4,1988,60.2,15.66666667
219,4,1989,61.225,16.23611111
220,4,1990,59.71666667,15.39814815
221,4,1991,59.25,15.13888889
222,4,1992,59.59166667,15.3287037
223,4,1993,59.8,15.44444444
224,4,1994,60.55,15.86111111
225,4,1995,61.00833333,16.11574074
226,4,1996,61.875,16.59722222
227,4,1997,60.525,15.84722222
228,4,1998,59.275,15.15277778
229,4,1999,60.78333333,15.99074074
230,4,2000,61.675,16.48611111
231,4,2001,61.2,16.22222222
232,4,2002,61.175,16.20833333
233,4,2003,61.9,16.61111111
234,4,2004,60.40833333,15.78240741
235,4,2005,61.13333333,16.18518519
236,4,2006,61.125,16.18055556
237,4,2007,61.59166667,16.43981481
238,4,2008,60.61666667,15.89814815
239,4,2009,61.08333333,16.15740741
240,4,2010,60.39166667,15.77314815
241,4,2011,60.33333333,15.74074074
242,4,2012,62.10833333,16.72685185
243,4,2013,60.45,15.80555556
244,4,2014,62.25,16.80555556
245,4,2015,61.75,16.52777778
246,4,2016,62.175,16.76388889
247,4,2017,63.03333333,17.24074074
248,4,2018,62.26666667,16.81481481
249,4,2019,60.28333333,15.71296296
250,5,1895,58.85833333,14.9212963
251,5,1896,62.075,16.70833333
252,5,1897,61.3,16.27777778
253,5,1898,60.44166667,15.80092593
254,5,1899,59.96666667,15.53703704
255,5,1900,61.225,16.23611111
256,5,1901,60.24166667,15.68981481
257,5,1902,59.73333333,15.40740741
258,5,1903,58.48333333,14.71296296
259,5,1904,59.53333333,15.2962963
260,5,1905,58.75,14.86111111
261,5,1906,59.51666667,15.28703704
262,5,1907,61.10833333,16.1712963
263,5,1908,61.38333333,16.32407407
264,5,1909,61.29166667,16.27314815
265,5,1910,60.13333333,15.62962963
266,5,1911,62.05,16.69444444
267,5,1912,58.50833333,14.72685185
268,5,1913,60.625,15.90277778
269,5,1914,60.30833333,15.72685185
270,5,1915,59.75,15.41666667
271,5,1916,60.78333333,15.99074074
272,5,1917,58.34166667,14.63425926
273,5,1918,60.525,15.84722222
274,5,1919,60.74166667,15.96759259
275,5,1920,59.725,15.40277778
276,5,1921,63.31666667,17.39814815
277,5,1922,61.68333333,16.49074074
278,5,1923,60.74166667,15.96759259
279,5,1924,59.11666667,15.06481481
280,5,1925,61.83333333,16.57407407
281,5,1926,60.26666667,15.7037037
282,5,1927,62.01666667,16.67592593
283,5,1928,60.11666667,15.62037037
284,5,1929,59.65833333,15.36574074
285,5,1930,60.78333333,15.99074074
286,5,1931,61.66666667,16.48148148
287,5,1932,61.15,16.19444444
288,5,1933,62.31666667,16.84259259
289,5,1934,61.95833333,16.64351852
290,5,1935,60.79166667,15.99537037
291,5,1936,61.04166667,16.13425926
292,5,1937,60,15.55555556
