Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2022†","Cryptosporidiosis, Cum 2022†, flag","Cryptosporidiosis, Cum 2021†","Cryptosporidiosis, Cum 2021†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2022†","Cyclosporiasis, Cum 2022†, flag","Cyclosporiasis, Cum 2021†","Cyclosporiasis, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocoding,Counties,States
CALIFORNIA,2022,5,2,,18,,21,,13,,,-,10,,,-,,-,CALIFORNIA,,202200559,POINT (-119.662127 37.211164),1196,8
HAWAII,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,202200560,POINT (-157.854309 21.361013),1657,4
OREGON,2022,5,,-,6,,4,,16,,,-,4,,,-,,-,OREGON,,202200561,POINT (-120.605279 43.940449),719,12
WASHINGTON,2022,5,3,,7,,13,,14,,1,,0,,1,,,-,WASHINGTON,,202200562,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,202200563,,,
AMERICAN SAMOA,2022,5,,N,,NC,,N,,N,,N,,NC,,N,,N,AMERICAN SAMOA,,202200564,,,
NORTHERN MARIANA ISLANDS,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200565,POINT (145.725693 15.1834),,
GUAM,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200566,POINT (144.653198 13.3532),,
PUERTO RICO,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,202200567,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200568,,,
NON-US RESIDENTS,2022,5,,-,0,,,-,,-,,-,1,,,-,,-,,NON-US RESIDENTS,202200569,,,
TOTAL,2022,5,24,,268,,242,,381,,1,,199,,6,,9,,,TOTAL,202200570,,,
