Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2021†","Cryptosporidiosis, Cum 2021†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2021†","Cyclosporiasis, Cum 2021†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode,Counties,States
US RESIDENTS,2021,1,14,,200,,14,,142,,,-,248,,,-,5,,,US RESIDENTS,20210101,,,
NEW ENGLAND,2021,1,1,,20,,1,,7,,,-,5,,,-,,-,,NEW ENGLAND,20210102,,,
CONNECTICUT,2021,1,,-,4,,,-,1,,,-,2,,,-,,-,CONNECTICUT,,20210103,POINT (-72.738288 41.575155),1043,24
MAINE,2021,1,,-,4,,,-,,-,,-,0,,,-,,-,MAINE,,20210104,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,1,,-,6,,,-,5,,,-,4,,,-,,-,MASSACHUSETTS,,20210105,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,1,,-,2,,,-,1,,,-,2,,,-,,-,NEW HAMPSHIRE,,20210106,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,1,,-,3,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20210107,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,1,1,,11,,1,,,-,,-,0,,,-,,-,VERMONT,,20210108,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,1,3,,46,,3,,19,,,-,34,,,-,1,,,MIDDLE ATLANTIC,20210109,,,
NEW JERSEY,2021,1,,-,6,,,-,6,,,-,19,,,-,1,,NEW JERSEY,,20210110,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,1,1,,31,,1,,,-,,-,10,,,-,,-,NEW YORK,,20210111,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,1,1,,13,,1,,5,,,-,17,,,-,,-,,NEW YORK CITY,20210112,,,
PENNSYLVANIA,2021,1,1,,13,,1,,8,,,N,,NC,,N,,N,PENNSYLVANIA,,20210113,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,1,,-,47,,,-,29,,,-,111,,,-,4,,,EAST NORTH CENTRAL,20210114,,,
ILLINOIS,2021,1,,-,11,,,-,7,,,-,97,,,-,,-,ILLINOIS,,20210115,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,1,,-,5,,,-,2,,,-,0,,,-,,-,INDIANA,,20210116,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,1,,-,6,,,-,5,,,-,3,,,-,,-,MICHIGAN,,20210117,POINT (-85.730977 44.874798),1262,50
OHIO,2021,1,,-,19,,,-,10,,,-,14,,,-,4,,OHIO,,20210118,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,1,,-,24,,,-,5,,,-,17,,,-,,-,WISCONSIN,,20210119,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,1,,-,30,,,-,21,,,-,122,,,-,,-,,WEST NORTH CENTRAL,20210120,,,
IOWA,2021,1,,-,17,,,-,11,,,-,103,,,-,,-,IOWA,,20210121,POINT (-93.500061 42.074659),299,16
KANSAS,2021,1,,-,4,,,-,,-,,-,6,,,-,,-,KANSAS,,20210122,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210123,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,1,,-,13,,,-,7,,,-,37,,,-,,-,MISSOURI,,20210124,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,1,,-,5,,,-,2,,,-,30,,,-,,-,NEBRASKA,,20210125,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,1,,-,2,,,-,,-,,N,,NC,,N,,N,NORTH DAKOTA,,20210126,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,1,,-,6,,,-,1,,,-,6,,,-,,-,SOUTH DAKOTA,,20210127,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,1,6,,40,,6,,23,,,-,37,,,-,,-,,SOUTH ATLANTIC,20210128,,,
DELAWARE,2021,1,,-,3,,,-,,-,,-,1,,,-,,-,DELAWARE,,20210129,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,1,,-,2,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210130,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,1,,-,11,,,-,8,,,-,14,,,-,,-,FLORIDA,,20210131,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,1,3,,21,,3,,5,,,-,18,,,-,,-,GEORGIA,,20210132,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,1,,-,6,,,-,1,,,-,3,,,-,,-,MARYLAND,,20210133,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,1,,-,9,,,-,9,,,-,1,,,-,,-,NORTH CAROLINA,,20210134,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,1,,-,4,,,-,,-,,-,3,,,-,,-,SOUTH CAROLINA,,20210135,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,1,3,,11,,3,,,-,,-,12,,,-,,-,VIRGINIA,,20210136,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,1,,-,5,,,-,,-,,-,1,,,-,,-,WEST VIRGINIA,,20210137,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,1,,-,17,,,-,7,,,-,15,,,-,,-,,EAST SOUTH CENTRAL,20210138,,,
ALABAMA,2021,1,,-,8,,,-,3,,,-,1,,,-,,-,ALABAMA,,20210139,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,1,,-,8,,,-,1,,,-,5,,,-,,-,KENTUCKY,,20210140,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,1,,-,3,,,-,1,,,N,,NC,,N,,N,MISSISSIPPI,,20210141,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,1,,-,9,,,-,2,,,-,11,,,-,,-,TENNESSEE,,20210142,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,1,,-,24,,,-,2,,,-,59,,,-,,-,,WEST SOUTH CENTRAL,20210143,,,
ARKANSAS,2021,1,,-,6,,,-,,-,,-,2,,,-,,-,ARKANSAS,,20210144,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,1,,-,6,,,-,2,,,-,16,,,-,,-,LOUISIANA,,20210145,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,1,,-,5,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20210146,POINT (-97.508297 35.583449),712,20
TEXAS,2021,1,,-,19,,,-,,-,,-,53,,,-,,-,TEXAS,,20210147,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,1,1,,21,,1,,17,,,-,9,,,-,,-,,MOUNTAIN,20210148,,,
ARIZONA,2021,1,1,,5,,1,,1,,,-,2,,,-,,-,ARIZONA,,20210149,POINT (-111.664616 34.293239),987,7
COLORADO,2021,1,,-,7,,,-,3,,,-,6,,,-,,-,COLORADO,,20210150,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,1,,-,2,,,-,1,,,N,,NC,,N,,N,IDAHO,,20210151,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,1,,-,3,,,-,2,,,-,1,,,-,,-,MONTANA,,20210152,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,1,,-,2,,,-,3,,,N,,NC,,N,,N,NEVADA,,20210153,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,1,,-,3,,,-,2,,,-,1,,,-,,-,NEW MEXICO,,20210154,POINT (-106.108388 34.421369),616,11
UTAH,2021,1,,-,6,,,-,5,,,-,3,,,-,,-,UTAH,,20210155,POINT (-111.678222 39.323779),900,13
WYOMING,2021,1,,-,1,,,-,,-,,-,1,,,-,,-,WYOMING,,20210156,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,1,3,,21,,3,,17,,,-,2,,,-,,-,,PACIFIC,20210157,,,
ALASKA,2021,1,,-,2,,,-,1,,,-,1,,,-,,-,ALASKA,,20210158,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,1,,-,13,,,-,11,,,-,2,,,-,,-,CALIFORNIA,,20210159,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,1,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20210160,POINT (-157.854309 21.361013),1657,4
OREGON,2021,1,2,,5,,2,,2,,,-,0,,,-,,-,OREGON,,20210161,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,1,1,,11,,1,,3,,,-,0,,,-,,-,WASHINGTON,,20210162,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210163,,,
AMERICAN SAMOA,2021,1,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20210164,,,
NORTHERN MARIANA ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210165,POINT (145.725693 15.1834),,
GUAM,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210166,POINT (144.653198 13.3532),,
PUERTO RICO,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210167,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,1,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210168,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,1,,-,1,,,-,1,,,-,0,,,-,,-,,NON-US RESIDENTS,20210169,,,
TOTAL,2021,1,14,,200,,14,,143,,,-,248,,,-,5,,,TOTAL,20210170,,,
US RESIDENTS,2021,2,15,,200,,40,,287,,,-,248,,,-,6,,,US RESIDENTS,20210201,,,
NEW ENGLAND,2021,2,,-,20,,1,,16,,,-,5,,,-,,-,,NEW ENGLAND,20210202,,,
CONNECTICUT,2021,2,,-,4,,,-,2,,,-,2,,,-,,-,CONNECTICUT,,20210203,POINT (-72.738288 41.575155),1043,24
MAINE,2021,2,,-,4,,,-,2,,,-,0,,,-,,-,MAINE,,20210204,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,2,,-,6,,,-,7,,,-,4,,,-,,-,MASSACHUSETTS,,20210205,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,2,,-,2,,,-,1,,,-,2,,,-,,-,NEW HAMPSHIRE,,20210206,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,2,,-,2,,,-,3,,,-,1,,,-,,-,RHODE ISLAND,,20210207,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,2,,-,11,,1,,1,,,-,0,,,-,,-,VERMONT,,20210208,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,2,2,,46,,6,,43,,,-,34,,,-,1,,,MIDDLE ATLANTIC,20210209,,,
NEW JERSEY,2021,2,,-,6,,,-,8,,,-,19,,,-,1,,NEW JERSEY,,20210210,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,2,1,,31,,2,,2,,,-,10,,,-,,-,NEW YORK,,20210211,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,2,,-,8,,1,,18,,,-,17,,,-,,-,,NEW YORK CITY,20210212,,,
PENNSYLVANIA,2021,2,1,,13,,3,,15,,,N,,NC,,N,,N,PENNSYLVANIA,,20210213,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,2,1,,47,,3,,58,,,-,111,,,-,4,,,EAST NORTH CENTRAL,20210214,,,
ILLINOIS,2021,2,,-,11,,,-,15,,,-,97,,,-,,-,ILLINOIS,,20210215,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,2,,-,5,,,-,3,,,-,0,,,-,,-,INDIANA,,20210216,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,2,,-,6,,1,,9,,,-,3,,,-,,-,MICHIGAN,,20210217,POINT (-85.730977 44.874798),1262,50
OHIO,2021,2,,-,19,,,-,19,,,-,14,,,-,4,,OHIO,,20210218,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,2,1,,24,,2,,12,,,-,17,,,-,,-,WISCONSIN,,20210219,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,2,2,,30,,5,,36,,,-,122,,,-,,-,,WEST NORTH CENTRAL,20210220,,,
IOWA,2021,2,,-,17,,2,,19,,,-,103,,,-,,-,IOWA,,20210221,POINT (-93.500061 42.074659),299,16
KANSAS,2021,2,2,,4,,2,,,-,,-,6,,,-,,-,KANSAS,,20210222,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210223,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,2,,-,13,,,-,11,,,-,37,,,-,,-,MISSOURI,,20210224,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,2,,-,5,,,-,5,,,-,30,,,-,,-,NEBRASKA,,20210225,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,2,,-,2,,1,,,-,,N,,NC,,N,,N,NORTH DAKOTA,,20210226,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,2,,-,6,,,-,1,,,-,6,,,-,,-,SOUTH DAKOTA,,20210227,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,2,,-,40,,7,,44,,,-,40,,,-,1,,,SOUTH ATLANTIC,20210228,,,
DELAWARE,2021,2,,-,3,,,-,,-,,-,1,,,-,,-,DELAWARE,,20210229,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,2,,-,2,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210230,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,2,,-,11,,,-,15,,,-,17,,,-,,-,FLORIDA,,20210231,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,2,,-,21,,3,,10,,,-,18,,,-,,-,GEORGIA,,20210232,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,2,,-,6,,,-,1,,,-,3,,,-,1,,MARYLAND,,20210233,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,2,,-,9,,,-,16,,,-,1,,,-,,-,NORTH CAROLINA,,20210234,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,2,,-,4,,,-,1,,,-,3,,,-,,-,SOUTH CAROLINA,,20210235,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,2,,-,11,,4,,,-,,-,12,,,-,,-,VIRGINIA,,20210236,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,2,,-,5,,,-,1,,,-,1,,,-,,-,WEST VIRGINIA,,20210237,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,2,1,,17,,3,,20,,,-,15,,,-,,-,,EAST SOUTH CENTRAL,20210238,,,
ALABAMA,2021,2,,-,8,,,-,6,,,-,1,,,-,,-,ALABAMA,,20210239,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,2,1,,8,,2,,4,,,-,5,,,-,,-,KENTUCKY,,20210240,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,2,,-,3,,,-,3,,,N,,NC,,N,,N,MISSISSIPPI,,20210241,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,2,,-,9,,1,,7,,,-,11,,,-,,-,TENNESSEE,,20210242,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,2,2,,24,,2,,10,,,-,59,,,-,,-,,WEST SOUTH CENTRAL,20210243,,,
ARKANSAS,2021,2,1,,6,,1,,,-,,-,2,,,-,,-,ARKANSAS,,20210244,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,2,,-,6,,,-,4,,,-,16,,,-,,-,LOUISIANA,,20210245,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,2,1,,5,,1,,2,,,N,,NC,,N,,N,OKLAHOMA,,20210246,POINT (-97.508297 35.583449),712,20
TEXAS,2021,2,,-,19,,,-,4,,,-,53,,,-,,-,TEXAS,,20210247,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,2,2,,21,,3,,29,,,-,9,,,-,,-,,MOUNTAIN,20210248,,,
ARIZONA,2021,2,,-,5,,1,,5,,,-,2,,,-,,-,ARIZONA,,20210249,POINT (-111.664616 34.293239),987,7
COLORADO,2021,2,2,,7,,2,,7,,,-,6,,,-,,-,COLORADO,,20210250,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,2,,-,2,,,-,2,,,N,,NC,,N,,N,IDAHO,,20210251,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,2,,-,3,,,-,3,,,-,1,,,-,,-,MONTANA,,20210252,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,2,,-,2,,,-,3,,,N,,NC,,N,,N,NEVADA,,20210253,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,2,,-,3,,,-,2,,,-,1,,,-,,-,NEW MEXICO,,20210254,POINT (-106.108388 34.421369),616,11
UTAH,2021,2,,-,6,,,-,6,,,-,3,,,-,,-,UTAH,,20210255,POINT (-111.678222 39.323779),900,13
WYOMING,2021,2,,-,1,,,-,1,,,-,1,,,-,,-,WYOMING,,20210256,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,2,5,,21,,10,,31,,,-,2,,,-,,-,,PACIFIC,20210257,,,
ALASKA,2021,2,,-,2,,,-,1,,,-,1,,,-,,-,ALASKA,,20210258,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,2,2,,13,,2,,21,,,-,2,,,-,,-,CALIFORNIA,,20210259,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,2,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20210260,POINT (-157.854309 21.361013),1657,4
OREGON,2021,2,1,,5,,4,,4,,,-,0,,,-,,-,OREGON,,20210261,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,2,2,,11,,4,,5,,,-,0,,,-,,-,WASHINGTON,,20210262,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20210263,,,
AMERICAN SAMOA,2021,2,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20210264,,,
NORTHERN MARIANA ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210265,POINT (145.725693 15.1834),,
GUAM,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210266,POINT (144.653198 13.3532),,
PUERTO RICO,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20210267,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,2,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210268,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,2,,-,1,,,-,1,,,-,0,,,-,,-,,NON-US RESIDENTS,20210269,,,
TOTAL,2021,2,15,,200,,40,,288,,,-,248,,,-,6,,,TOTAL,20210270,,,
US RESIDENTS,2021,3,16,,191,,78,,486,,2,,247,,5,,8,,,US RESIDENTS,20210301,,,
NEW ENGLAND,2021,3,,-,20,,2,,23,,,-,5,,,-,,-,,NEW ENGLAND,20210302,,,
CONNECTICUT,2021,3,,-,4,,,-,3,,,-,2,,,-,,-,CONNECTICUT,,20210303,POINT (-72.738288 41.575155),1043,24
MAINE,2021,3,,-,4,,1,,4,,,-,0,,,-,,-,MAINE,,20210304,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,3,,-,6,,,-,9,,,-,4,,,-,,-,MASSACHUSETTS,,20210305,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,3,,-,2,,,-,2,,,-,2,,,-,,-,NEW HAMPSHIRE,,20210306,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,3,,-,2,,,-,3,,,-,1,,,-,,-,RHODE ISLAND,,20210307,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,3,,-,11,,1,,2,,,-,0,,,-,,-,VERMONT,,20210308,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,3,1,,45,,8,,73,,,-,34,,,-,1,,,MIDDLE ATLANTIC,20210309,,,
NEW JERSEY,2021,3,,-,5,,,-,14,,,-,19,,,-,1,,NEW JERSEY,,20210310,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,3,1,,30,,2,,13,,,-,10,,,-,,-,NEW YORK,,20210311,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,3,,-,8,,1,,24,,,-,17,,,-,,-,,NEW YORK CITY,20210312,,,
PENNSYLVANIA,2021,3,,-,13,,5,,22,,,N,,NC,,N,,N,PENNSYLVANIA,,20210313,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,3,5,,47,,18,,103,,1,,111,,4,,5,,,EAST NORTH CENTRAL,20210314,,,
ILLINOIS,2021,3,,-,11,,,-,22,,,-,97,,,-,,-,ILLINOIS,,20210315,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,3,,-,5,,,-,7,,,-,0,,,-,,-,INDIANA,,20210316,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,3,,-,9,,1,,16,,,-,3,,,-,,-,MICHIGAN,,20210317,POINT (-85.730977 44.874798),1262,50
OHIO,2021,3,5,,13,,14,,38,,1,,14,,4,,4,,OHIO,,20210318,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,3,,-,24,,3,,20,,,-,17,,,-,1,,WISCONSIN,,20210319,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,3,,-,30,,7,,45,,,-,121,,,-,,-,,WEST NORTH CENTRAL,20210320,,,
IOWA,2021,3,,-,17,,3,,25,,,-,103,,,-,,-,IOWA,,20210321,POINT (-93.500061 42.074659),299,16
KANSAS,2021,3,,-,4,,2,,1,,,-,6,,,-,,-,KANSAS,,20210322,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,3,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210323,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,3,,-,13,,,-,9,,,-,37,,,-,,-,MISSOURI,,20210324,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,3,,-,5,,,-,6,,,-,30,,,-,,-,NEBRASKA,,20210325,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,3,,-,2,,2,,,-,,N,,NC,,N,,N,NORTH DAKOTA,,20210326,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,3,,-,6,,,-,4,,,-,6,,,-,,-,SOUTH DAKOTA,,20210327,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,3,2,,38,,11,,84,,,-,40,,,-,1,,,SOUTH ATLANTIC,20210328,,,
DELAWARE,2021,3,,-,3,,,-,1,,,-,1,,,-,,-,DELAWARE,,20210329,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,3,,-,2,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210330,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,3,,-,11,,,-,21,,,-,17,,,-,,-,FLORIDA,,20210331,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,3,1,,21,,5,,18,,,-,18,,,-,,-,GEORGIA,,20210332,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,3,,-,6,,,-,3,,,-,3,,,-,1,,MARYLAND,,20210333,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,3,,-,9,,,-,25,,,-,1,,,-,,-,NORTH CAROLINA,,20210334,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,3,,-,4,,1,,3,,,-,3,,,-,,-,SOUTH CAROLINA,,20210335,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,3,1,,8,,5,,11,,,-,12,,,-,,-,VIRGINIA,,20210336,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,3,,-,5,,,-,2,,,-,1,,,-,,-,WEST VIRGINIA,,20210337,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,3,,-,17,,4,,32,,,-,15,,,-,1,,,EAST SOUTH CENTRAL,20210338,,,
ALABAMA,2021,3,,-,8,,1,,13,,,-,1,,,-,,-,ALABAMA,,20210339,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,3,,-,8,,2,,3,,,-,5,,,-,,-,KENTUCKY,,20210340,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,3,,-,3,,,-,5,,,N,,NC,,N,,N,MISSISSIPPI,,20210341,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,3,,-,9,,1,,11,,,-,11,,,-,1,,TENNESSEE,,20210342,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,3,3,,24,,5,,29,,1,,60,,1,,,-,,WEST SOUTH CENTRAL,20210343,,,
ARKANSAS,2021,3,3,,6,,4,,2,,1,,2,,1,,,-,ARKANSAS,,20210344,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,3,,-,6,,,-,10,,,-,16,,,-,,-,LOUISIANA,,20210345,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,3,,-,5,,1,,5,,,N,,NC,,N,,N,OKLAHOMA,,20210346,POINT (-97.508297 35.583449),712,20
TEXAS,2021,3,,-,19,,,-,12,,,-,53,,,-,,-,TEXAS,,20210347,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,3,,-,16,,3,,50,,,-,9,,,-,,-,,MOUNTAIN,20210348,,,
ARIZONA,2021,3,,-,5,,1,,7,,,-,2,,,-,,-,ARIZONA,,20210349,POINT (-111.664616 34.293239),987,7
COLORADO,2021,3,,-,6,,2,,14,,,-,6,,,-,,-,COLORADO,,20210350,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,3,,-,2,,,-,4,,,N,,NC,,N,,N,IDAHO,,20210351,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,3,,-,3,,,-,6,,,-,1,,,-,,-,MONTANA,,20210352,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,3,,-,2,,,-,3,,,N,,NC,,N,,N,NEVADA,,20210353,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,3,,-,2,,,-,5,,,-,1,,,-,,-,NEW MEXICO,,20210354,POINT (-106.108388 34.421369),616,11
UTAH,2021,3,,-,6,,,-,10,,,-,3,,,-,,-,UTAH,,20210355,POINT (-111.678222 39.323779),900,13
WYOMING,2021,3,,-,1,,,-,1,,,-,1,,,-,,-,WYOMING,,20210356,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,3,5,,21,,20,,47,,,-,2,,,-,,-,,PACIFIC,20210357,,,
ALASKA,2021,3,,-,2,,,-,1,,,-,1,,,-,,-,ALASKA,,20210358,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,3,2,,13,,5,,31,,,-,2,,,-,,-,CALIFORNIA,,20210359,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,3,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20210360,POINT (-157.854309 21.361013),1657,4
