month,year,Reporting.Area,average_temp
4,2014,NEVADA,46.2
4,2014,NEW HAMPSHIRE,31.6
4,2014,NEW JERSEY,42.8
4,2014,NEW MEXICO,49.2
4,2014,NEW YORK,33.6
4,2014,NORTH CAROLINA,52.4
4,2014,NORTH DAKOTA,30.4
4,2014,OHIO,42.5
4,2014,OKLAHOMA,52.8
4,2014,OREGON,43.8
4,2014,PENNSYLVANIA,39
4,2014,RHODE ISLAND,39.9
4,2014,SOUTH CAROLINA,56.6
4,2014,SOUTH DAKOTA,36.4
4,2014,TENNESSEE,51.8
4,2014,TEXAS,60.1
4,2014,UTAH,43.8
4,2014,VERMONT,29.6
4,2014,VIRGINIA,47.8
4,2014,WASHINGTON,43
4,2014,WEST VIRGINIA,45.1
4,2014,WISCONSIN,30.6
4,2014,WYOMING,36
5,2014,ALABAMA,66.3
5,2014,ARIZONA,63
5,2014,ARKANSAS,63.8
5,2014,CALIFORNIA,61.2
5,2014,COLORADO,47.8
5,2014,CONNECTICUT,52.5
5,2014,DELAWARE,58.9
5,2014,FLORIDA,73.2
5,2014,GEORGIA,67.1
5,2014,IDAHO,46.6
5,2014,ILLINOIS,58
5,2014,INDIANA,57.6
5,2014,IOWA,53.8
5,2014,KANSAS,59.4
5,2014,KENTUCKY,61.8
5,2014,LOUISIANA,68.6
5,2014,MAINE,45.2
5,2014,MARYLAND,58.4
5,2014,MASSACHUSETTS,51.6
5,2014,MICHIGAN,47.9
5,2014,MINNESOTA,46.4
5,2014,MISSISSIPPI,66.8
5,2014,MISSOURI,60.2
5,2014,MONTANA,46
5,2014,NEBRASKA,53.4
5,2014,NEVADA,53.2
5,2014,NEW HAMPSHIRE,47.8
5,2014,NEW JERSEY,56.2
5,2014,NEW MEXICO,56.2
5,2014,NEW YORK,50.1
5,2014,NORTH CAROLINA,63.8
5,2014,NORTH DAKOTA,46
5,2014,OHIO,56.6
5,2014,OKLAHOMA,64.2
5,2014,OREGON,49.6
5,2014,PENNSYLVANIA,53.4
5,2014,RHODE ISLAND,52.5
5,2014,SOUTH CAROLINA,67.5
5,2014,SOUTH DAKOTA,49.5
5,2014,TENNESSEE,63
5,2014,TEXAS,68.7
5,2014,UTAH,51.6
5,2014,VERMONT,47
5,2014,VIRGINIA,60.1
5,2014,WASHINGTON,50
5,2014,WEST VIRGINIA,57.4
5,2014,WISCONSIN,47.5
5,2014,WYOMING,44.8
6,2014,ALABAMA,74
6,2014,ARIZONA,72.2
6,2014,ARKANSAS,72.4
6,2014,CALIFORNIA,68.2
6,2014,COLORADO,57.4
